production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
165000000,496511521,2012,2.35,101,4451,165000000,7.8,49038712,3752
165000000,665417894,2014,2.35,169,31488,165000000,8.6,47510360,3561
165000000,379262220,2016,2.35,120,3233,165000000,5.5,41039944,4068
160000000,807330936,2007,1.85,93,4705,160000000,6.1,121629270,4122
160000000,650523427,2015,2.35,137,81385,160000000,6.6,102665981,4175
160000000,355408305,2011,2.35,132,50983,160000000,7.8,55101604,3641
160000000,329809326,2008,2.35,166,13333,150000000,7.8,26853816,2988
160000000,217986320,2010,2.35,109,13388,150000000,6.1,17619622,3504
160000000,181674817,2006,2.35,98,92456,160000000,5.6,22155410,3555
160000000,433125655,2016,2.35,123,5505,160000000,7.3,24166110,3400
155000000,418186950,2010,1.78,113,764,155000000,6.3,24005069,3555
155000000,440160956,2015,2.35,126,38873,155000000,6.6,27018486,3758
155000000,167297191,2004,2.35,206,24598,155000000,5.5,13687087,2445
151500000,449239855,2001,2.35,184,5401,140000000,6.1,75177654,3214
150000000,1274234980,2013,2.24,102,2582,150000000,7.6,67391326,3742
150000000,942943935,2007,2.35,138,33433,150000000,7.5,77108414,4
150000000,896911078,2005,2.35,157,53413,150000000,7.6,102335066,3858
150000000,738576929,2003,2.35,138,534,150000000,7.2,91774413,3603
150000000,585532684,2007,2.35,104,13076,150000000,7.2,77211321,3606
150000000,624234272,2008,2.35,102,21584,150000000,6.4,62603879,3965
150000000,626549695,2007,2.35,111,4764,150000000,8,47027395,3940
150000000,644600394,2013,2.35,112,59803,170000000,7.1,85737841,3841
150000000,359142722,2005,2.35,128,59558,150000000,8.3,48745440,3858
150000000,700868363,2015,2.35,131,21840,150000000,7.4,55520089,3956
150000000,449326618,2011,2.35,115,60059,150000000,7,65723338,3955
150000000,599516844,2008,1.85,89,3285,150000000,6.7,63106589,4056
150000000,374825760,2009,2.35,119,40054,150000000,6.7,85058003,4099
150000000,402231063,2009,2.35,105,54039,150000000,5.9,70052004,4096
150000000,664837547,2011,2.35,90,21015,150000000,7.3,47835000,3925
150000000,373136354,2015,2.35,120,40025,150000000,8.1,45428128,3702
150000000,427289109,2003,2.35,129,1062,150000000,6.7,48475154,3502
150000000,397501348,2006,2.35,124,34817,150000000,6.9,47743273,4054
150000000,490875846,2009,2.35,146,16948,150000000,6.7,46204168,3527
150000000,319713881,2010,2.35,103,2857,150000000,4.2,51804232,3169
150000000,287594577,2007,1.85,91,6576,150000000,6.2,38021044,3928
150000000,292817841,2009,2.35,88,2217,150000000,5.1,31706934,3697
150000000,194995215,2007,2.35,115,31523,150000000,6.3,27515871,3153
150000000,238202668,2012,1.85,113,80849,100000000,6.2,29685274,3755
150000000,205440387,2013,2.35,131,18204,150000000,6.4,24852258,3222
150000000,142634358,2010,1.85,119,13071,150000000,5.8,35555065,3222
150000000,39549758,2011,2.35,88,2652,150000000,5.4,6914488,3117
149000000,179357126,2006,1.85,85,35161,149000000,6.7,18814323,3707
145000000,746921271,2012,1.85,93,2444,145000000,6.9,60316738,4258
145000000,694713230,2011,2.35,133,21768,145000000,7.4,29556629,3448
145000000,616102924,2014,2.35,102,23378,145000000,7.9,49451322,4253
145000000,269806430,2014,1.85,92,5810,145000000,6.9,32207057,3934
145000000,306900902,2012,1.85,97,20645,145000000,7.3,23773465,3653
145000000,121671925,2005,2.35,124,13073,130000000,6,18068372,3154
142000000,431942139,2002,2.35,133,2538,142000000,6.1,47072040,3314
140000000,385680446,2009,2.35,127,39284,150000000,8,75204289,3849
140000000,554600000,1998,2.35,153,26029,140000000,6.6,36089972,3127
140000000,370569776,2011,2.35,124,19761,140000000,6.9,65058524,3715
140000000,518628619,2016,2.35,95,36095,145000000,7.2,41282042,3955
140000000,375740705,2013,2.35,122,31958,130000000,5.8,40501814,3719
140000000,456810575,2003,2.35,154,11945,140000000,7.7,24271354,2908
140000000,203018919,2005,2.35,90,1997,100000000,6.1,21530160,3056
140000000,268314513,2014,2.35,150,26490,140000000,6.1,24115934,3503
140000000,118515678,2016,2.35,117,1950,140000000,6.8,19584969,3357
140000000,133553464,2016,2.35,126,19769,140000000,5.5,14123903,3117
139000000,821706375,2002,1.85,121,40484,139000000,7.3,114844116,3615
138000000,184068357,2009,2.35,215,2530,130000000,7.7,55214334,3611
138000000,76416746,2005,2.35,121,2705,135000000,5,13251545,3495
137500000,263417913,2008,2.35,135,5811,150000000,6.8,55414050,3505
137000000,245229234,2003,1.85,138,1814,137000000,5.7,62128420,3660
137000000,85131830,2001,1.85,106,15015,137000000,6.4,11408853,2649
135000000,573068425,2013,2.35,98,43286,135000000,7.3,43639736,4046
135000000,532037894,2015,2.35,156,57108,135000000,8.1,38000000,3375
135000000,361730660,1999,2.35,128,2037,135000000,6.4,35519007,3163
135000000,245504574,2011,2.35,107,43291,135000000,7.2,38079323,3917
135000000,212912137,2003,2.35,138,1205,150000000,7.4,25105990,3101
135000000,286896578,2013,2.35,96,17416,135000000,6.5,21312625,3806
